trade_date,stock_id,subject_key,subject_name,final_cycle_state,final_mainline_alive,state_transition_type,cycle_score_mainline_strength,cycle_score_repair,cycle_score_divergence,cycle_score_fade_watch,cycle_score_fade_confirmed,cycle_alive_pass
2026-04-15,601577,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600927,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601169,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,601128,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,600120,69,,divergence,False,,32.7,42.91,73.575,31.725,19.74,False
2026-04-15,002124,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300871,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300119,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300967,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,000702,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002321,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,603717,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002100,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002311,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,600789,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,605296,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002004,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,603151,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,603566,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,688098,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002215,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002567,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300761,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,600195,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,300796,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002982,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,603477,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,688526,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002458,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002714,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,000735,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
2026-04-15,002496,79,,divergence,False,,53.68,59.286,94.845,26.625,16.044,False
