code,name,flag,pct_chg,amount,volume,market_cap,turnover,amount_ratio,subjects_count,file
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9040603_2026-04-20_stocks.jsonl
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9040603_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9061871_2026-04-20_stocks.jsonl
001366,播恩集团,-1,9.99,149340846,98531,2511428400,0,5.946450474160442,3,79_2026-04-20_stocks.jsonl
688227,品高股份,-1,15.09,2762722663,237039.65,13189028381.5,0.14,20.94712804527147,19,9040117_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,41,9038599_2026-04-20_stocks.jsonl
000949,新乡化纤,-1,9.99,995968875.31,1279008.66,13321475372.88,0,7.476415692946473,10,9061633_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9066026_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9041936_2026-04-20_stocks.jsonl
600367,红星发展,-1,4.73,1390406812,615754.17,7631098277.740001,-0.22,18.220271334413717,27,9064086_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9035034_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9030409_2026-04-20_stocks.jsonl
002273,水晶光电,-1,7.37,3984240885.68,1285025.17,43359912650.78,0.26,9.188765940948748,24,9030409_2026-04-20_stocks.jsonl
002047,ST宝鹰,-1,5.06,263632523.35,457607.53,8809404906.33,0.35,2.9926257920165162,8,9030409_2026-04-20_stocks.jsonl
002580,圣阳股份,-1,7.91,3503538278.73,1048991.11,14977676769,-0.9,23.391733796668905,41,9027590_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9021645_2026-04-20_stocks.jsonl
002432,九安医疗,-1,6.54,3366467379.34,421597.48,37328256421.2,0.46,9.018549758536452,18,9025918_2026-04-20_stocks.jsonl
002528,ST英飞拓,-1,2.42,421356482.48,760070.86,6604699701.82,-0.9,6.379646335228389,9,9025918_2026-04-20_stocks.jsonl
002940,昂利康,-1,1.63,2482731097.27,605739.07,8028781802.799999,-0.13,30.92288666263367,37,9025631_2026-04-20_stocks.jsonl
002475,立讯精密,-1,10.01,25188235806.75,3929268.63,478907785110.72003,0,5.259516881924703,37,9023110_2026-04-20_stocks.jsonl
